question,answer
Tell me about yourself.,"Certainly, I'd be happy to tell you about myself. Currently, I am working as a project coordinator at XYZ Corp, where I have successfully led several key initiatives to streamline operations and enhance team collaboration. This experience has honed my skills in project management, communication, and strategic planning, all of which are integral to the position we're discussing today. However, before I dive deeper into my qualifications, I would love to gain a clearer understanding of the specific priorities and goals you have for this role. This way, I can ensure that my background aligns closely with your needs. Could you share more about what the most critical aspects of this position are? Additionally, are there any particular challenges or objectives that need immediate attention or long-term focus? 

Once I understand your priorities better, I can share examples of how I've successfully tackled similar challenges in my past roles. For instance, if problem-solving and adaptability are crucial, I can elaborate on how I developed a contingency plan that reduced project delays by 30% during a major system upgrade. I'm eager to connect my experiences and skills directly to the success of your team and organization."
What are your greatest strengths?,"In preparing for this role, I've identified that your team values dedication, good communication, and a proven track record of achievement. One of my greatest strengths is my dedication to consistently deliver high-quality results. In my previous position, I led a project that required significant coordination and communication among different departments. By streamlining processes and fostering open communication, we successfully completed the project ahead of schedule, resulting in a 20% increase in efficiency. This experience honed my ability to communicate effectively across teams and demonstrated my commitment to achieving excellence. Additionally, I am known for my positive attitude and sense of humor, which helps me build strong relationships with colleagues and contribute to a supportive work environment. I am confident that these strengths align well with your team’s needs and would be an asset in this role."
What are your greatest weaknesses?,"(and another reason it's so important to get a thorough description of your interviewer's needs before you answer questions): Assure the interviewer that you can think of nothing that would stand in the way of your performing in this position with excellence. Then, quickly review you strongest qualifications. Example: Nobody's perfect, but based on what you've told me about this position, I believe I' d make an outstanding match. I know that when I hire people, I look for two things most of all. Do they have the qualifications to do the job well, and the motivation to do it well? Everything in my background shows I have both the qualifications and a strong desire to achieve excellence in whatever I take on. So I can say in all honesty that I see nothing that would cause you even a small concern about my ability or my strong desire to perform this job with excellence. Alternate strategy (if you don't yet know enough about the position to talk about such a perfect fit): Instead of confessing a weakness, describe what you like most and like least, making sure that what you like most matches up with the most important qualification for success in the position, and what you like least is not essential. Example: Let's say you're applying for a teaching position. If given a choice, I like to spend as much time as possible in front of my prospects selling, as opposed to shuffling paperwork back at the office. Of course, I long ago learned the importance of filing paperwork properly, and I do it conscientiously. But what I really love to do is sell (if your interviewer were a sales manager, this should be music to his ears.)"
Tell me about something you did or failed to do that you now feel a little ashamed of.,"You know, I really can't think of anything that I've done or failed to do that I feel ashamed of. (Pause) I would add that as a general management principle, I've found that the best way to avoid regrets is to avoid causing them in the first place. I practice one habit that helps me greatly in this regard. At the end of each day, I mentally review the day's events and conversations to take a second look at the people and developments I'm involved with and do a double-check of what they're likely to be feeling. Sometimes I'll see things that do need more follow-up, whether it's offering a pat on the back or maybe a five-minute chat in someone's office to ensure clarity on certain matters. I also like to make each person feel like a member of an elite team, akin to the Boston Celtics or LA Lakers in their prime. I've found that when you let each team member know you expect excellence in their performance, work hard to set an example yourself, and make it clear that you appreciate and respect their feelings, it results in a highly motivated group. It's a team that's having fun at work because they're striving for excellence rather than brooding over slights or regrets."
Why are you leaving (or did you leave) this position?,"Currently, I am employed at XYZ Corporation, where I've had the opportunity to develop my skills in project management and collaborate with a talented team. However, I am exploring new opportunities because I'm eager to advance into roles that offer greater responsibility and potential for growth. From what I've learned about your company, it seems that you value innovation and provide substantial opportunities for professional development, which aligns well with my career aspirations.

In my previous role at ABC Company, I was part of a division-wide layoff due to a strategic merger that shifted the company’s focus. I understood the business rationale behind the decision and appreciated the transparency with which it was communicated. This experience has given me valuable insights into organizational change and adaptability, and I am excited to bring this perspective to a forward-thinking company like yours."
The Silent Treatment,"Like a primitive tribal mask, the Silent Treatment loses all it power to frighten you once you refuse to be intimidated. If your interviewer pulls it, keep quiet yourself for a while and then ask, with sincere politeness and not a trace of sarcasm, Is there anything else I can fill in on that point? Thats all there is to it. Whatever you do, dont let the Silent Treatment intimidate you into talking a blue streak, because you could easily talk yourself out of the position."
Why should I hire you?,"By now you can see how critical it is to apply the overall strategy of uncovering the employers needs before you answer questions. If you know the employers greatest needs and desires, this question will give you a big leg up over other candidates because you will give him better reasons for hiring you than anyone else is likely to...reasons tied directly to his needs. Whether your interviewer asks you this question explicitly or not, this is the most important question of your interview because he must answer this question favorably in is own mind before you will be hired. So help him out! Walk through each of the positions requirements as you understand them, and follow each with a reason why you meet that requirement so well. Example: As I understand your needs, you are first and foremost looking for someone who can manage the sales and marketing of your book publishing division. As youve said you need someone with a strong background in trade book sales. This is where Ive spent almost all of my career, so Ive chalked up 18 years of experience exactly in this area. I believe that I know the right contacts, methods, principles, and successful management techniques as well as any person can in our industry. You also need someone who can expand your book distribution channels. In my prior post, my innovative promotional ideas doubled, then tripled, the number of outlets selling our books. Im confident I can do the same for you. You need someone to give a new shot in the arm to your mail order sales, someone who knows how to sell in space and direct mail media. Here, too, I believe I have exactly the experience you need. In the last five years, Ive increased our mail order book sales from $600,000 to $2,800,000, and now were the countrys second leading marketer of scientific and medical books by mail. Etc., etc., etc., Every one of these selling couplets (his need matched by your qualifications) is a touchdown that runs up your score. IT is your best opportunity to outsell your competition."
Arent you overqualified for this position?,"As with any objection, dont view this as a sign of imminent defeat. Its an invitation to teach the interviewer a new way to think about this situation, seeing advantages instead of drawbacks. Example: I recognize the job market for what it is a marketplace. Like any marketplace, its subject to the laws of supply and demand. So overqualified can be a relative term, depending on how tight the job market is. And right now, its very tight. I understand and accept that. I also believe that there could be very positive benefits for both of us in this match. Because of my unusually strong experience in ________________ , I could start to contribute right away, perhaps much faster than someone whod have to be brought along more slowly. Theres also the value of all the training and years of experience that other companies have invested tens of thousands of dollars to give me. Youd be getting all the value of that without having to pay an extra dime for it. With someone who has yet to acquire that experience, hed have to gain it on your nickel. I could also help you in many things they dont teach at the Harvard Business School. For example...(how to hire, train, motivate, etc.) When it comes to knowing how to work well with people and getting the most out of them, theres just no substitute for what you learn over many years of front-line experience. You company would gain all this, too. From my side, there are strong benefits, as well. Right now, I am unemployed. I want to work, very much, and the position you have here is exactly what I love to do and am best at. Ill be happy doing this work and thats what matters most to me, a lot more that money or title. Most important, Im looking to make a long term commitment in my career now. Ive had enough of job-hunting and want a permanent spot at this point in my career. I also know that if I perform this job with excellence, other opportunities cannot help but open up for me right here. In time, Ill find many other ways to help this company and in so doing, help myself. I really am looking to make a long-term commitment. NOTE: The main concern behind the overqualified question is that you will leave your new employer as soon as something better comes your way. Anything you can say to demonstrate the sincerity of your commitment to the employer and reassure him that youre looking to stay for the long-term will help you overcome this objection."
Where do you see yourself five years from now?,"I am definitely interested in making a long-term commitment to my next position, and I am excited about the prospect of joining your team. Based on what you've described about this role, it aligns perfectly with my skills and experiences, and it offers the challenges and opportunities that I am looking for. I believe that if I consistently perform my duties with excellence, future opportunities will naturally arise. This has always been the case in my career, where hard work and dedication have led to growth and advancement, and I am confident that I will have similar opportunities here."
"Describe your ideal company, location and job.","My ideal company is one that values innovation and collaboration, much like the one you're representing. The dedication to fostering creativity and teamwork here is evident, and it aligns perfectly with my professional aspirations. I am particularly drawn to the company's commitment to sustainable practices and community engagement, which resonate with my personal values and desire to contribute positively to the environment and society. 

Furthermore, the location is ideal for someone like me who thrives in a community-oriented environment. Being based in Topeka offers a unique blend of professional opportunities and a close-knit community that I find incredibly appealing. I am eager to immerse myself in a setting where I can build strong relationships, both professionally and personally. The chance to be part of a growing industry here excites me, as I am looking forward to contributing to and witnessing the evolution and success of the company within this vibrant area."
Why do you want to work at our company?,"I am thrilled about the opportunity to join your company because of its innovative approach to sustainable solutions, as highlighted in your recent annual report. Your commitment to reducing carbon emissions aligns with my passion for environmental stewardship, and I am eager to contribute to projects that make a tangible impact. Additionally, I've spoken with a colleague who has worked with your team on a collaborative project, and they shared how your dynamic work culture encourages creativity and collaboration. This aligns perfectly with my professional values and aspirations, making your company the ideal place for me to grow and contribute meaningfully."
What are your career options right now?,"Prepare for this question by thinking of how you can position yourself as a desired commodity. If you are still working, describe the possibilities at your present firm and why, though youre greatly appreciated there, youre looking for something more (challenge, money, responsibility, etc.). Also mention that youre seriously exploring opportunities with one or two other firms. If youre not working, you can talk about other employment possibilities youre actually exploring. But do this with a light touch, speaking only in general terms. You dont want to seem manipulative or coy."
